state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,spending-per_value,spending-per_rank
VA,21.595800265139523,40,0.06838436980299563,47,0.29052189711976756,24,0.13668755375353236,43,0.15110112359550562,39,7952.517078651686,6
AK,40.172090370287286,5,0.09160954805281495,31,0.38515692656851913,5,0.16281909635401523,39,0.25642857142857145,25,6992.631428571429,11
AL,21.527663195145017,41,0.10687881890214893,17,0.1761240815946023,50,0.2927749106788408,6,0.09382297551789077,50,3906.1835404896424,42
AR,19.887169497846948,45,0.1220353982300885,7,0.21696131629616663,44,0.10308816278965532,48,0.13826086956521738,43,7286.115403726708,10
VT,41.58682910157186,3,0.06234088970801964,51,0.3660911000666086,9,0.31490552834149754,4,0.4888888888888889,9,5786.465333333334,22
IL,26.126232788346343,28,0.10478311586130644,19,0.333960857049875,13,0.12852457560807773,45,1.1459412780656304,1,5809.031588946459,21
IN,26.47472479331966,26,0.10555519184928121,18,0.22878328775897322,39,0.21092102179517225,23,0.11837837837837838,45,5197.657897897898,32
IA,27.17739906727548,23,0.08084826239826264,39,0.22091288542889773,42,0.289419795221843,7,0.37144654088050316,15,5257.604591194969,29
AZ,21.618302483315123,39,0.1241979391833973,5,0.21305192006101162,45,0.15419467149329613,40,0.14134579439252337,42,5298.493196261682,27
ID,13.998410619269361,52,0.13903383701326782,1,0.14283202834462522,52,0.2019819478634097,27,0.15796875,36,3489.956875,49
ME,15.534052591013644,51,0.07511862181918903,43,0.4163193122382317,3,0.06377934752524098,51,0.3928301886792453,12,7788.082264150943,8
MD,22.31440935303681,36,0.06856694002310662,46,0.26760465761020236,31,0.20026270026270027,29,0.3217090069284065,18,6072.630993071593,20
MA,40.96684379962286,4,0.06287691585826499,50,0.3186849160569465,15,0.211818338594426,22,0.5138761061946903,7,9651.975469026549,3
UT,22.043876878418768,37,0.11642641445730133,10,0.2404142350039107,37,0.15265551780876768,41,0.45491803278688525,10,5158.979098360655,34
MO,26.566818045498625,25,0.09453003104751463,26,0.21289920466316695,46,0.3678016839709387,1,0.18035874439461883,33,3589.0704932735425,47
MN,36.24189558256816,7,0.07149034078818128,44,0.29677613073295517,23,0.249214907343737,10,0.3338137082601054,16,6854.259648506151,12
MI,20.831177645716178,43,0.09402959964413982,27,0.1835922286225795,49,0.3138148873079312,5,0.4395704948646125,11,3845.2218300653594,43
US,27.51050859623424,22,0.10038679251295775,22,0.2737097966606353,29,0.1792995095477713,35,0.2982313408723748,22,5584.092421324717,25
MT,27.916535925019126,21,0.10056776861066315,21,0.16851326085451146,51,0.25242889430273857,9,0.3813953488372093,13,6525.736976744186,15
MS,27.043046584935656,24,0.13159041263009702,3,0.2736463187147376,30,0.20134196980335445,28,0.14240184757505775,41,3729.9880831408777,44
