state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,spending-per-u_value,spending-per-u_rank
OR,23.013822513107556,36,0.1800063775922546,31,0.11391130190912957,46,0.20558743772466417,25,5459.306503067485,26,0.004215521238856347,36
SD,20.461671032523398,45,0.18472329850197902,27,0.1572599857063448,22,0.23564560584064465,14,2989.1096428571427,52,0.0068454066519169545,12
DE,27.241731092477725,26,0.1748723577508918,33,0.19974711142942253,7,0.21893988672240644,20,3562.116666666667,49,0.007647624612466667,5
DC,24.62219049279397,30,0.16244065742585878,35,0.18019992726343415,12,0.0709103801887307,50,11862.262307692308,2,0.002075674087633962,51
HI,34.55125170330207,12,0.18852268834528713,25,0.2101756678052543,5,0.16851092512497895,38,5174.753444444444,34,0.006676888488358011,13
TX,23.710010187866295,32,0.2635883925629582,2,0.16493302684385297,17,0.11259748290573575,46,4843.609782694587,36,0.004895111549361021,29
LA,23.170737997542712,34,0.23697664507178381,5,0.13690769572284262,31,0.22225810108449587,19,3213.2821329211747,51,0.00721092547714705,9
TN,30.347771971237414,19,0.20920341348113847,15,0.12330815918132579,37,0.2581311306143521,8,4557.491294117646,38,0.0066588765644834645,14
PA,34.205436071231475,14,0.1477084642141198,42,0.16086069341274414,19,0.32582084657101307,2,4418.358434163701,40,0.007741661655774159,4
VA,22.345803126309665,38,0.13825306970081755,45,0.14729635451023826,26,0.13668755375353236,43,8027.86786516854,7,0.0027835290143805235,47
AK,41.4394274063039,5,0.17030926864087043,34,0.21371228314360988,4,0.16281909635401523,39,6992.63142857143,11,0.0059261563875632195,19
AL,21.68242959625774,40,0.20578897130666182,18,0.09197953170405157,50,0.2927749106788408,6,3912.5580790960444,44,0.00554175277604243,20
AR,20.145160473215196,47,0.23424629563258761,7,0.11449674860523595,44,0.10308816278965532,48,7286.115403726708,10,0.002764869804685132,48
VT,42.28559910286129,3,0.12631881938039657,50,0.18370915074692104,10,0.31490552834149754,4,5786.465333333334,22,0.0073076734529579175,8
IL,26.434136394680525,28,0.20324030302244375,19,0.17420690945946835,13,0.12852457560807773,45,5809.03158894646,21,0.0045505237817917744,31
IN,27.25803476121829,25,0.2068636017086842,17,0.12018446468169718,38,0.21092102179517225,23,5198.071621621622,33,0.0052438744106251284,27
IA,28.143360994203654,23,0.15626947385690526,39,0.11628288464102851,42,0.289419795221843,7,5351.281320754717,28,0.005259181737474878,26
AZ,21.667666894175827,41,0.22505490018461485,9,0.11674726540786373,41,0.15419467149329613,40,5348.199439252336,29,0.004051394705879725,39
ID,16.517526199732256,51,0.27107353277469437,1,0.07389217702780226,52,0.2019819478634097,27,4082.694375000001,42,0.0040457415330610565,40
ME,16.311470169777422,52,0.13999167592894124,44,0.2230270856369902,3,0.06377934752524098,51,8191.307169811322,6,0.001991314674401734,52
MD,23.1604781682893,35,0.13481150842529233,46,0.13695027590714925,30,0.20026270026270027,29,6264.08401847575,20,0.0036973447514398084,43
MA,41.63447946308946,4,0.13324200269701242,47,0.15283830784481128,23,0.211818338594426,22,9651.975469026547,3,0.0043135707914608405,34
UT,22.41687397891476,37,0.2124421932756547,14,0.13275608601400343,35,0.15265551780876768,41,5206.757213114754,32,0.004305342665575274,35
MO,26.997684395187562,27,0.17926386260351343,32,0.11405843777159906,45,0.3678016839709387,1,3589.985,48,0.007520277771407837,6
MN,36.64733703401795,8,0.1314665470169397,48,0.1631896446976249,18,0.249214907343737,10,6854.25964850615,12,0.005346651412892572,24
MI,21.180127168217492,43,0.18445347146234192,28,0.09515832488959945,49,0.3138148873079312,5,3845.22183006536,45,0.0055081678260048466,22
US,27.83007522459284,24,0.19703381801396372,21,0.14131514657467123,28,0.1792995095477713,35,5574.498364458805,25,0.004992390957010299,28
MT,28.245111342385236,21,0.1967789790317636,22,0.0871356665677719,51,0.25242889430273857,9,6525.736976744186,15,0.004328263833348254,33
MS,28.193597637858222,22,0.24363635615065035,3,0.15142449159499968,24,0.20134196980335445,28,3795.5783833718247,46,0.007428010909054728,7
