Rent_At_Level,Gap,Total,At_This_Level,Vacant,Substandard,Substandard_Vacant,eli_old,vli_old,li_old,Gap_No_Assisted,Per100,Per100_No_Assisted,county,eli,vli,li
Low (51-80%),420.2134182,729.5665124,309.3530943,,0,,304.85,99.25,11.9,434.2134182,42.40231549,40.483367751,01009,302,101,14
Middle (81-120%),413.526605,603.220937,282.6058415,,92.91150954,,304.85,99.25,11.9,413.526605,31.44690782,31.446907818,01009,302,101,14
High (over 120%),495.1761134,495.1761134,78.48207056,,78.48207056,,304.85,99.25,11.9,495.1761134,0,0,01009,302,101,14
Extremely low (0-30% AMI),162.8468879,234.6651486,90.5873997,,18.76913902,,266.11,86.3,42.59,382.8468879,30.60457044,-63.14603604,01011,220,77,33
Very low (31-50%),-15.13749729,111.3929733,117.6719801,20.02494036,0,11.16644979,266.11,86.3,42.59,61.86250271,113.5892748,44.464627456,01011,220,77,33
Low (51-80%),-22.4686619,155.4817827,145.9444806,36.07883323,0,4.072869226,266.11,86.3,42.59,10.5313381,114.4509932,93.226641786,01011,220,77,33
Middle (81-120%),41.23780091,100.1247018,58.88690089,,0,,266.11,86.3,42.59,41.23780091,58.81355932,58.813559323,01011,220,77,33
High (over 120%),96.18759488,98.12220776,1.934612882,,0,,266.11,86.3,42.59,96.18759488,1.971636112,1.9716361099,01011,220,77,33
Extremely low (0-30% AMI),462.3984776,970.6260704,479.0439581,60.96137012,0,31.77773549,259.16,160.13,80.71,677.3984776,52.36080178,30.210150102,01013,215,150,66
Very low (31-50%),-17.51018078,597.7240723,529.6289248,176.8312084,0,91.22588011,259.16,160.13,80.71,132.48981922,102.9294756,77.834284186,01013,215,150,66
Low (51-80%),11.45727878,575.674215,456.3455756,107.8713606,0,0,259.16,160.13,80.71,77.45727878,98.00976343,86.544945603,01013,215,150,66
Middle (81-120%),330.9640343,486.6100856,144.6211227,11.02492864,0,0,259.16,160.13,80.71,330.9640343,31.9857841,31.985784082,01013,215,150,66
High (over 120%),432.9986679,450.2926736,17.29400571,,0,,259.16,160.13,80.71,432.9986679,3.840614498,3.8406144967,01013,215,150,66
Extremely low (0-30% AMI),2337,3620,1175,108,0,0,1359.85,412.2,96.95,3452,35.44198895,4.6408839779,01015,1115,435,86
Very low (31-50%),1486,3148,1118,990,0,446,1359.85,412.2,96.95,1921,52.79542567,38.977128335,01015,1115,435,86
Low (51-80%),-1590,2927,4064,453,0,0,1359.85,412.2,96.95,-1504,154.3218312,151.38366929,01015,1115,435,86
Middle (81-120%),2015,3631,1616,,0,,1359.85,412.2,96.95,2015,44.50564583,44.505645828,01015,1115,435,86
High (over 120%),1540,1590,50,,0,,1359.85,412.2,96.95,1540,3.144654088,3.1446540881,01015,1115,435,86
Extremely low (0-30% AMI),500.6513437,1283.675743,844.6265912,,61.60219236,,342.5,170.44,75.06,802.6513437,60.99861304,37.472422605,01017,302,165,54
Very low (31-50%),66.23125884,753.8256719,564.0339463,168.7828854,21.72100424,23.50141443,342.5,170.44,75.06,231.23125884,91.21398205,69.325632244,01017,302,165,54
Low (51-80%),156.6760962,1151.213225,837.5049505,157.0321782,0,0,342.5,170.44,75.06,210.6760962,86.39034952,81.699645937,01017,302,165,54
Middle (81-120%),673.3511315,849.6117398,176.2606082,,0,,342.5,170.44,75.06,673.3511315,20.74601844,20.746018451,01017,302,165,54
High (over 120%),616.0219236,616.0219236,,,,,342.5,170.44,75.06,616.0219236,0,0,01017,302,165,54
Extremely low (0-30% AMI),276.9603537,696.605748,382.9229182,36.72247605,0,0,140.58,61.62,11.8,413.9603537,60.24144869,40.574657202,01019,137,62,10
Very low (31-50%),188.0975682,464.9177598,137.3588799,201.693294,0,62.23198231,140.58,61.62,11.8,250.0975682,59.5417546,46.206062701,01019,137,62,10
Low (51-80%),-109.4666175,532.0554164,624.7025792,32.51761238,15.6981577,0,140.58,61.62,11.8,-99.4666175,120.5742887,118.69478525,01019,137,62,10
Middle (81-120%),144.0866618,230.9871776,86.90051584,,0,,140.58,61.62,11.8,144.0866618,37.62135922,37.621359204,01019,137,62,10
High (over 120%),475.2897568,475.2897568,,,,,140.58,61.62,11.8,475.2897568,0,0,01019,137,62,10
Extremely low (0-30% AMI),387.0477369,992.394802,652.9710042,,47.62393918,,119.84,44.52,23.64,494.0477369,60.99861304,50.216613801,01021,107,40,20
Very low (31-50%),51.20261669,582.7738685,436.0480905,130.4840877,16.79225601,18.16867044,119.84,44.52,23.64,91.20261669,91.21398205,84.350256314,01021,107,40,20
Low (51-80%),121.1244696,889.9895686,647.4653465,121.3997525,0,0,119.84,44.52,23.64,141.1244696,86.39034952,84.143132169,01021,107,40,20
Middle (81-120%),520.5599364,656.8249646,136.2650283,,0,,119.84,44.52,23.64,520.5599364,20.74601844,20.746018429,01021,107,40,20
High (over 120%),476.2393918,476.2393918,,,,,119.84,44.52,23.64,476.2393918,0,0,01021,107,40,20
Extremely low (0-30% AMI),131.3817729,255.9092796,124.5275068,,0,,0,0,0,132.3817729,48.66080156,48.270038075,01023,1,1,
Very low (31-50%),-16.36018269,96.05978825,112.4199709,,0,,0,0,0,-15.36018269,117.03125,115.99023168,01023,1,1,
Low (51-80%),-50.28129541,74.84658501,120.5750467,4.552833714,0,0,0,0,0,-50.28129541,167.1791444,167.17914438,01023,1,1,
Middle (81-120%),86.05356031,102.0134939,15.95993357,,0,,0,0,0,86.05356031,15.64492398,15.644924,01023,1,1,
High (over 120%),89.95598921,89.95598921,,,,,0,0,0,89.95598921,0,0,01023,1,1,
Extremely low (0-30% AMI),479.1891219,933.3786589,454.1895371,,0,,83.71,11.94,0.35,555.1891219,48.66080156,40.518339839,01025,76,13,
Very low (31-50%),-59.67054183,350.3591447,410.0296865,,0,,83.71,11.94,0.35,-46.67054183,117.03125,113.32077171,01025,76,13,
Low (51-80%),-183.3911148,272.9881669,439.7737181,16.60556363,0,0,83.71,11.94,0.35,-183.3911148,167.1791444,167.17914439,01025,76,13,
Middle (81-120%),313.8634005,372.0741125,58.21071206,,0,,83.71,11.94,0.35,313.8634005,15.64492398,15.644923967,01025,76,13,
High (over 120%),328.0967407,328.0967407,,,,,83.71,11.94,0.35,328.0967407,0,0,01025,76,13,
Extremely low (0-30% AMI),108.337804,272.4893147,149.7868828,14.36462786,0,0,177.65,114.95,97.4,281.337804,60.24144869,-3.247279369,01027,173,124,83
Very low (31-50%),73.57759764,181.8605748,53.7302874,78.89579956,0,24.3431098,177.65,114.95,97.4,197.57759764,59.5417546,-8.6423475,01027,173,124,83
Low (51-80%),-42.81974945,208.1226234,244.363154,12.71982314,6.140604274,0,177.65,114.95,97.4,40.18025055,120.5742887,80.693953452,01027,173,124,83
Middle (81-120%),56.36197495,90.35460575,33.9926308,,0,,177.65,114.95,97.4,56.36197495,37.62135922,37.621359219,01027,173,124,83
High (over 120%),185.9177598,185.9177598,,,,,177.65,114.95,97.4,185.9177598,0,0,01027,173,124,83
Extremely low (0-30% AMI),133.9661017,336.9491525,185.220339,17.76271186,0,0,82.06,28.55,6.39,196.9661017,60.24144869,41.544265585,01029,63,26,6
Very low (31-50%),90.98305085,224.8813559,66.44067797,97.55932203,0,30.10169492,82.06,28.55,6.39,116.98305085,59.5417546,47.980102494,01029,63,26,6
Low (51-80%),-52.94915254,257.3559322,302.1694915,15.72881356,7.593220339,0,82.06,28.55,6.39,-46.94915254,120.5742887,118.24288725,01029,63,26,6
Middle (81-120%),69.69491525,111.7288136,42.03389831,,0,,82.06,28.55,6.39,69.69491525,37.62135922,37.62135925,01029,63,26,6
High (over 120%),229.8983051,229.8983051,,,,,82.06,28.55,6.39,229.8983051,0,0,01029,63,26,6
Extremely low (0-30% AMI),844.2028544,1772.076118,874.5925785,111.297431,0,58.01674596,548.12,157.76,55.12,1247.2028544,52.36080178,29.619115018,01031,403,140,43
Very low (31-50%),-31.96841104,1091.267364,966.9457659,322.8414843,0,166.5514748,548.12,157.76,55.12,108.03158896,102.9294756,90.100355557,01031,403,140,43
Low (51-80%),20.91760228,1051.010847,833.1520457,196.9411989,0,0,548.12,157.76,55.12,63.91760228,98.00976343,93.918464071,01031,403,140,43
Middle (81-120%),604.2424358,888.4060894,264.0353949,20.1282588,0,0,548.12,157.76,55.12,604.2424358,31.9857841,31.98578409,01031,403,140,43
High (over 120%),790.5274976,822.1012369,31.5737393,,0,,548.12,157.76,55.12,790.5274976,3.840614498,3.8406144989,01031,403,140,43
Extremely low (0-30% AMI),892.2029418,1417.59401,464.8190151,77.46983586,16.89778299,0,813.64,241.64,58.72,1610.2029418,37.06216761,-13.58703059,01033,718,218,45
Very low (31-50%),73.83031337,1147.229482,803.2946067,380.3301002,0,110.2255383,813.64,241.64,58.72,291.83031337,93.56446862,74.562167557,01033,718,218,45
Low (51-80%),-530.0704541,1049.222341,1371.840013,305.7198892,17.41771477,80.84939245,813.64,241.64,58.72,-485.0704541,150.5203172,146.23142638,01033,718,218,45
Middle (81-120%),890.1232147,1012.56715,122.4439352,,0,,813.64,241.64,58.72,890.1232147,12.09242619,12.092426196,01033,718,218,45
High (over 120%),923.3988489,936.6571094,34.05553187,,20.79727137,,813.64,241.64,58.72,923.3988489,1.415487094,1.4154870942,01033,718,218,45
Extremely low (0-30% AMI),293.8372431,572.3448204,278.5075773,,0,,197.16,78.63,15.21,471.8372431,48.66080156,17.560668625,01035,178,75,11
Very low (31-50%),-36.58978617,214.8391115,251.4288977,,0,,197.16,78.63,15.21,38.41021383,117.03125,82.12140538,01035,178,75,11
Low (51-80%),-112.4548474,167.3954744,269.6678431,10.18247872,0,0,197.16,78.63,15.21,-101.4548474,167.1791444,160.60787949,01035,178,75,11
Middle (81-120%),192.4600374,228.1546606,35.69462321,,0,,197.16,78.63,15.21,192.4600374,15.64492398,15.644923977,01035,178,75,11
High (over 120%),201.1878763,201.1878763,,,,,197.16,78.63,15.21,201.1878763,0,0,01035,178,75,11
Extremely low (0-30% AMI),67.61527581,173.3663366,114.0707214,,8.319660538,,23.85,20.9,0.25,71.61527581,60.99861304,58.691360033,01037,4,1,1
Very low (31-50%),8.944837341,101.8076379,76.17538897,22.79490806,2.933521924,3.17397454,23.85,20.9,0.25,9.944837341,91.21398205,90.231737475,01037,4,1,1
Low (51-80%),21.15983027,155.476662,113.1089109,21.20792079,0,0,23.85,20.9,0.25,22.15983027,86.39034952,85.747166176,01037,4,1,1
Middle (81-120%),90.93917963,114.7439887,23.80480905,,0,,23.85,20.9,0.25,90.93917963,20.74601844,20.746018454,01037,4,1,1
High (over 120%),83.19660538,83.19660538,,,,,23.85,20.9,0.25,83.19660538,0,0,01037,4,1,1
Extremely low (0-30% AMI),636.2049477,1335.465271,659.1071361,83.8755471,0,43.72235966,355.21,158.77,65.02,941.2049477,52.36080178,29.522319439,01039,305,173,53
Very low (31-50%),-24.09191246,822.396765,728.7059943,243.2985728,0,125.5158896,355.21,158.77,65.02,148.90808754,102.9294756,81.893400622,01039,305,173,53
Low (51-80%),15.76384396,792.0588011,627.8768792,148.418078,0,0,355.21,158.77,65.02,68.76384396,98.00976343,91.318341029,01039,305,173,53
Middle (81-120%),455.3668887,669.5172217,198.9813511,15.16898192,0,0,355.21,158.77,65.02,455.3668887,31.9857841,31.985784093,01039,305,173,53
High (over 120%),595.7543292,619.5488107,23.79448145,,0,,355.21,158.77,65.02,595.7543292,3.840614498,3.8406145067,01039,305,173,53
Extremely low (0-30% AMI),196.1937203,411.8325404,203.2563273,25.86565176,0,13.4831589,206.66,69.68,62.66,399.1937203,52.36080178,3.0689221614,01041,203,78,48
Very low (31-50%),-7.429495718,253.6117983,224.7193149,75.02873454,0,38.70675547,206.66,69.68,62.66,70.570504282,102.9294756,72.17380865,01041,203,78,48
Low (51-80%),4.861274976,244.256137,193.6254995,45.76936251,0,0,206.66,69.68,62.66,52.861274976,98.00976343,78.35826128,01041,203,78,48
Middle (81-120%),140.4266413,206.4666032,61.3621313,4.677830638,0,0,206.66,69.68,62.66,140.4266413,31.9857841,31.985784082,01041,203,78,48
High (over 120%),183.7195052,191.0572788,7.337773549,,0,,206.66,69.68,62.66,183.7195052,3.840614498,3.8406145247,01041,203,78,48
Extremely low (0-30% AMI),1321.33366,2967.455569,1646.121909,,0,,384.89,185.55,38.56,1691.33366,55.472504,43.003909556,01043,370,203,40
Very low (31-50%),285.972093,1279.348837,667.796328,325.5804162,0,0,384.89,185.55,38.56,488.972093,77.64705882,61.779611717,01043,370,203,40
Low (51-80%),76.04798042,1749.10355,1673.055569,,0,,384.89,185.55,38.56,116.04798042,95.65217391,93.365288155,01043,370,203,40
Middle (81-120%),700.275153,933.172093,232.89694,,0,,384.89,185.55,38.56,700.275153,24.95755518,24.957555176,01043,370,203,40
High (over 120%),955.352754,1086.06022,200.4181151,,69.71064872,,384.89,185.55,38.56,955.352754,12.03501094,12.035010913,01043,370,203,40
Extremely low (0-30% AMI),811.4239645,1456.204777,568.3813363,76.39947597,0,0,678.59,233.03,111.38,1303.4239645,44.27816901,10.49171208,01045,492,200,78
Very low (31-50%),134.8527663,1579.007961,1192.395848,266.1162955,0,14.3569485,678.59,233.03,111.38,334.8527663,91.45965254,78.793471941,01045,492,200,78
Low (51-80%),-111.522725,1245.208909,1127.020458,318.672982,16.15156707,72.81023884,678.59,233.03,111.38,-33.522725,108.9561458,102.69213662,01045,492,200,78
Middle (81-120%),841.9324801,1122.918472,307.3925224,,26.40653028,,678.59,233.03,111.38,841.9324801,25.02283105,25.022831034,01045,492,200,78
High (over 120%),1084.718734,1179.32077,94.60203568,,0,,678.59,233.03,111.38,1084.718734,8.02173913,8.0217391575,01045,492,200,78
Extremely low (0-30% AMI),1184.953832,3136.828585,1739.016913,307.7626086,0,94.90476916,1277.28,305.51,96.21,2299.953832,62.22446333,26.679008123,01047,1115,294,68
Very low (31-50%),385.0422063,1515.764742,1130.722535,67.78912083,0,67.78912083,1277.28,305.51,96.21,679.0422063,74.59749553,55.201345731,01047,1115,294,68
Low (51-80%),-311.8299558,1172.75179,1484.581746,,0,,1277.28,305.51,96.21,-243.8299558,126.5895954,120.79126699,01047,1115,294,68
Middle (81-120%),762.8535731,849.1717203,86.31814719,,0,,1277.28,305.51,96.21,762.8535731,10.16498137,10.164981374,01047,1115,294,68
High (over 120%),664.3333841,664.3333841,,,,,1277.28,305.51,96.21,664.3333841,0,0,01047,1115,294,68
Extremely low (0-30% AMI),461.9761499,742.572402,280.5962521,,0,,653.83,273.22,89.95,920.9761499,37.78705637,-24.02509808,01049,459,226,65
Very low (31-50%),76.99602499,1101.714935,928.0863146,265.0936968,0,168.4611017,653.83,273.22,89.95,302.99602499,93.01125704,72.497783649,01049,459,226,65
Low (51-80%),165.8773424,1497.546848,866.0760931,465.5934128,0,0,653.83,273.22,89.95,230.8773424,88.92339545,84.582963618,01049,459,226,65
Middle (81-120%),814.9176604,842.3055082,27.38784781,,0,,653.83,273.22,89.95,814.9176604,3.251533742,3.2515337408,01049,459,226,65
High (over 120%),1745.070982,1745.070982,,,,,653.83,273.22,89.95,1745.070982,0,0,01049,459,226,65
Extremely low (0-30% AMI),673.7552156,1090.488526,520.5893602,,103.8560501,,171,51.28,13.72,810.7552156,38.21528611,25.652109466,01051,137,47,8
Very low (31-50%),-144.4384562,683.3553547,595.6449931,232.1488178,0,0,171,51.28,13.72,-97.4384562,121.1366539,114.25882676,01051,137,47,8
Low (51-80%),-30.10952712,1297.327886,1318.273644,37.09144645,27.92767733,0,171,51.28,13.72,-22.10952712,102.320888,101.70423587,01051,137,47,8
Middle (81-120%),1134.125522,1403.365786,269.2402643,,0,,171,51.28,13.72,1134.125522,19.18532338,19.185323362,01051,137,47,8
High (over 120%),1718.424896,1718.424896,128.7291377,,128.7291377,,171,51.28,13.72,1718.424896,0,0,01051,137,47,8
Extremely low (0-30% AMI),955.6524808,1861.447997,905.7955159,,0,,210.79,73.72,19.49,1165.6524808,48.66080156,37.379261592,01053,210,87,17
Very low (31-50%),-119.0016608,698.7253477,817.7270085,,0,,210.79,73.72,19.49,-32.0016608,117.03125,104.58000571,01053,210,87,17
Low (51-80%),-365.7390492,544.4235001,877.0458792,33.11667013,0,0,210.79,73.72,19.49,-348.7390492,167.1791444,164.05657528,01053,210,87,17
Middle (81-120%),625.9414573,742.0317625,116.0903052,,0,,210.79,73.72,19.49,625.9414573,15.64492398,15.644923987,01053,210,87,17
High (over 120%),654.3271746,654.3271746,,,,,210.79,73.72,19.49,654.3271746,0,0,01053,210,87,17
Extremely low (0-30% AMI),1796,2610,814,,0,,1166.44,392.31,184.25,2808,31.18773946,-7.586206897,01055,1012,451,153
Very low (31-50%),1101,3519,2418,,0,,1166.44,392.31,184.25,1552,68.71270247,55.896561523,01055,1012,451,153
Low (51-80%),-1830,2277,3339,768,0,0,1166.44,392.31,184.25,-1677,180.3689065,173.64953887,01055,1012,451,153
Middle (81-120%),1189,1867,454,224,0,0,1166.44,392.31,184.25,1189,36.31494376,36.31494376,01055,1012,451,153
High (over 120%),2084,2084,,,,,1166.44,392.31,184.25,2084,0,0,01055,1012,451,153
Extremely low (0-30% AMI),245.4664936,634.7652194,410.1283624,,20.82963662,,198.94,43.2,41.86,436.4664936,61.32956153,31.239696149,01057,191,49,31
Very low (31-50%),168.2531855,566.5302029,398.2770175,,0,,198.94,43.2,41.86,217.2531855,70.30110935,61.651967647,01057,191,49,31
Low (51-80%),4.489145824,426.4688532,361.6455875,60.33411987,0,0,198.94,43.2,41.86,35.489145824,98.94736842,91.678373331,01057,191,49,31
Middle (81-120%),361.10689,397.0200566,35.91316659,,0,,198.94,43.2,41.86,361.10689,9.045680688,9.0456806912,01057,191,49,31
High (over 120%),335.2494101,335.2494101,,,,,198.94,43.2,41.86,335.2494101,0,0,01057,191,49,31
Extremely low (0-30% AMI),461.6482626,733.4988275,240.5090599,40.08484332,8.743338307,0,460.22,182.49,86.29,839.6482626,37.06216761,-14.47165709,01059,378,164,62
Very low (31-50%),38.20166276,593.6054146,415.6448518,196.7923684,0,57.03346834,460.22,182.49,86.29,202.20166276,93.56446862,65.93668828,01059,378,164,62
Low (51-80%),-274.2717971,542.8940524,709.8245577,158.1871669,9.012364102,41.83351098,460.22,182.49,86.29,-212.2717971,150.5203172,139.100041,01059,378,164,62
Middle (81-120%),460.5721595,523.927734,63.3555745,,0,,460.22,182.49,86.29,460.5721595,12.09242619,12.092426186,01059,378,164,62
High (over 120%),477.7898103,484.649968,17.62118951,,10.76103176,,460.22,182.49,86.29,477.7898103,1.415487094,1.4154870841,01059,378,164,62
Extremely low (0-30% AMI),380.8334173,683.4546004,266.7638819,35.85730122,0,0,463.97,112.44,41.59,651.8334173,44.27816901,4.6266691425,01061,271,78,23
Very low (31-50%),63.29174645,741.0910007,559.6386174,124.8989217,0,6.738284793,463.97,112.44,41.59,141.29174645,91.45965254,80.934629308,01061,271,78,23
Low (51-80%),-52.34203366,584.4258793,528.9553562,149.5658571,7.580570392,34.17273002,463.97,112.44,41.59,-29.34203366,108.9561458,105.02065954,01061,271,78,23
Middle (81-120%),395.1522725,527.030132,144.2714905,,12.39363096,,463.97,112.44,41.59,395.1522725,25.02283105,25.022831048,01061,271,78,23
High (over 120%),509.1014814,553.5019651,44.40048373,,0,,463.97,112.44,41.59,509.1014814,8.02173913,8.0217391264,01061,271,78,23
Extremely low (0-30% AMI),141.0278836,373.331251,206.9699832,36.62852354,0,11.29513942,221.67,56.82,26.51,320.0278836,62.22446333,14.277767333,01063,179,56,19
Very low (31-50%),45.82599421,180.3995124,134.5735182,8.067956727,0,8.067956727,221.67,56.82,26.51,101.82599421,74.59749553,43.555283019,01063,179,56,19
Low (51-80%),-37.11260094,139.5756514,176.6882523,,0,,221.67,56.82,26.51,-18.11260094,126.5895954,112.9769059,01063,179,56,19
Middle (81-120%),90.79140637,101.0646046,10.27319823,,0,,221.67,56.82,26.51,90.79140637,10.16498137,10.164981371,01063,179,56,19
High (over 120%),79.06597593,79.06597593,,,,,221.67,56.82,26.51,79.06597593,0,0,01063,179,56,19
Extremely low (0-30% AMI),190.167911,503.4155112,279.0870029,49.39143684,0,15.23083956,129.31,39.12,16.57,304.167911,62.22446333,39.579153953,01065,114,39,17
Very low (31-50%),61.79369191,243.258266,181.4645741,10.87917111,0,10.87917111,129.31,39.12,16.57,100.79369191,74.59749553,58.565152351,01065,114,39,17
Low (51-80%),-50.04418711,188.2096602,238.2538473,,0,,129.31,39.12,16.57,-33.04418711,126.5895954,117.55711533,01065,114,39,17
Middle (81-120%),122.4269389,136.2797501,13.85281121,,0,,129.31,39.12,16.57,122.4269389,10.16498137,10.164981364,01065,114,39,17
High (over 120%),106.6158769,106.6158769,,,,,129.31,39.12,16.57,106.6158769,0,0,01065,114,39,17
Extremely low (0-30% AMI),161.3917162,289.6382143,113.0506903,15.19580772,0,0,130.7,81.78,29.52,281.3917162,44.27816901,2.8471719866,01067,120,74,18
Very low (31-50%),26.8221304,314.0636904,237.1667842,52.9303638,0,2.855588028,130.7,81.78,29.52,100.8221304,91.45965254,67.897552795,01067,120,74,18
Low (51-80%),-22.18179986,247.6712688,224.1636602,63.38385569,3.212536531,14.48191071,130.7,81.78,29.52,-4.18179986,108.9561458,101.68844771,01067,120,74,18
Middle (81-120%),167.4598408,223.3477779,61.14017938,,5.252242265,,130.7,81.78,29.52,167.4598408,25.02283105,25.022831042,01067,120,74,18
High (over 120%),215.749874,234.5661594,18.8162854,,0,,130.7,81.78,29.52,215.749874,8.02173913,8.0217391324,01067,120,74,18
Extremely low (0-30% AMI),1811.350902,3250.702409,1268.804092,170.5474151,0,0,1435.98,423.6,75.42,2882.350902,44.27816901,11.331443505,01069,1071,366,65
Very low (31-50%),301.0333569,3524.837348,2661.79875,594.054419,0,32.04917868,1435.98,423.6,75.42,667.0333569,91.45965254,81.076194699,01069,1071,366,65
Low (51-80%),-248.9534415,2779.693943,2515.860526,711.3773053,36.05532601,162.5351204,1435.98,423.6,75.42,-183.9534415,108.9561458,106.61775884,01069,1071,366,65
Middle (81-120%),1879.455407,2506.703618,686.1958077,,58.94759649,,1435.98,423.6,75.42,1879.455407,25.02283105,25.02283104,01069,1071,366,65
High (over 120%),2421.42991,2632.611106,211.1811952,,0,,1435.98,423.6,75.42,2421.42991,8.02173913,8.0217391592,01069,1071,366,65
Extremely low (0-30% AMI),432.0238501,694.427598,262.4037479,,0,,453.42,177.85,80.73,799.0238501,37.78705637,-15.0622257,01071,367,165,61
Very low (31-50%),72.00397501,1030.285065,867.9136854,247.9063032,0,157.5388984,453.42,177.85,80.73,237.00397501,93.01125704,76.9962719,01071,367,165,61
Low (51-80%),155.1226576,1400.453152,809.9239069,435.4065872,0,0,453.42,177.85,80.73,216.1226576,88.92339545,84.567662453,01071,367,165,61
Middle (81-120%),762.0823396,787.6944918,25.61215219,,0,,453.42,177.85,80.73,762.0823396,3.251533742,3.2515337439,01071,367,165,61
High (over 120%),1631.929018,1631.929018,,,,,453.42,177.85,80.73,1631.929018,0,0,01071,367,165,61
Extremely low (0-30% AMI),18172,30518,11614,1437,399,306,13845.83,2985.58,598.59,28780,40.45481355,5.6949996723,01073,10608,2434,439
Very low (31-50%),-1170,15135,13368,5059,43,2079,13845.83,2985.58,598.59,1264,107.7304262,91.648496862,01073,10608,2434,439
Low (51-80%),-13514,19774,26823,7493,121,907,13845.83,2985.58,598.59,-13075,168.3422676,166.12218064,01073,10608,2434,439
Middle (81-120%),7598,12880,4774,508,0,0,13845.83,2985.58,598.59,7598,41.00931677,41.00931677,01073,10608,2434,439
High (over 120%),11936,14226,2523,714,947,0,13845.83,2985.58,598.59,11936,16.09728666,16.097286658,01073,10608,2434,439
Extremely low (0-30% AMI),189.6639925,490.4624823,316.892874,,16.09438414,,247.87,109.63,59.5,403.6639925,61.32956153,17.69727409,01075,214,115,50
